train_loss,train_acc,val_loss,val_acc
4.49582,24.02936367,3.141715205,38.51551
2.852987603,42.07679865,2.724555688,45.2263091
2.445529164,48.42111244,2.467473118,48.76955747
2.214237894,52.28093102,2.342621054,51.14735
2.057432238,54.98168544,2.287729941,52.41791723
1.891326318,57.89177452,2.298487942,53.4455942
1.81489286,59.3237372,2.267369327,53.91078315
1.744362473,61.05372213,2.108349722,55.70335859
1.742211642,60.70234529,2.286044382,54.77724
1.69144666,61.95693281,1.65371155,63.36299653
1.681459511,61.84214498,2.150847538,55.34754231
1.677278976,62.39193698,2.076573313,56.32692485
1.639506754,63.0903406,2.065514019,56.42990561
1.63451066,62.8928132,1.795340448,62.42054502
1.626737662,62.89574282,2.181532457,55.43560862
1.613966564,63.53706324,2.075108056,56.5577438
1.590420031,64.0287955,2.075204336,56.69552495
1.582180389,63.80028515,1.829254993,61.97098073
1.535291381,64.74966,1.967085224,61.87155103
1.495857606,65.46431,1.750771234,61.68192439
1.413693135,67.41738916,2.012500348,58.03924632
1.35846329,68.56429095,1.97690968,58.39932388
1.332859459,69.0654335,1.993435452,58.47744721
1.316869371,69.42586553,2.002760345,58.61238752
1.307209741,69.60918871,1.604484845,64.17903028
1.29934204,69.77937299,1.99496583,58.55699097
1.260125467,70.64893744,1.673027382,63.97235854
1.237087555,71.14484218,1.590512781,64.36084458
1.220906805,71.4545829,1.658097921,64.42263304
1.209600042,71.67386051,1.608460786,64.50004616
